filename,width,height,class,xmin,ymin,xmax,ymax
image-1.jpg,800,600,vehicle,592,320,758,404
image-1.jpg,800,600,vehicle,520,334,546,352
image-1.jpg,800,600,tree,99,9,170,398
image-1.jpg,800,600,tree,250,7,273,363
image-1.jpg,800,600,tree,389,10,406,351
image-1.jpg,800,600,pole,347,168,371,358
image-1.jpg,800,600,pole,701,153,731,332
image-1.jpg,800,600,pole,574,263,590,358
image-10.jpg,800,600,vehicle,574,318,708,389
image-10.jpg,800,600,vehicle,234,325,271,346
image-10.jpg,800,600,vehicle,444,333,469,349
image-10.jpg,800,600,vehicle,501,328,536,346
image-10.jpg,800,600,vehicle,409,322,431,334
image-11.jpg,800,600,vehicle,218,291,365,389
image-11.jpg,800,600,vehicle,381,308,413,335
image-11.jpg,800,600,tree,461,111,624,314
image-12.jpg,800,600,vehicle,402,334,466,379
image-12.jpg,800,600,vehicle,566,331,608,378
image-12.jpg,800,600,vehicle,644,349,680,371
image-12.jpg,800,600,vehicle,740,269,800,415
image-13.jpg,800,600,vehicle,3,251,122,338
image-13.jpg,800,600,vehicle,405,264,450,290
image-14.jpg,800,600,vehicle,450,301,583,389
image-15.jpg,800,600,vehicle,201,260,458,470
image-15.jpg,800,600,vehicle,476,299,512,324
image-15.jpg,800,600,vehicle,522,300,561,330
image-15.jpg,800,600,tree,702,5,756,383
image-15.jpg,800,600,tree,205,9,230,284
image-16.jpg,800,600,vehicle,427,330,442,344
image-16.jpg,800,600,vehicle,365,331,380,341
image-17.jpg,800,600,vehicle,5,269,121,404
image-17.jpg,800,600,vehicle,201,315,275,364
image-17.jpg,800,600,vehicle,445,323,491,351
image-17.jpg,800,600,vehicle,402,321,426,337
image-18.jpg,800,600,vehicle,398,338,432,363
image-18.jpg,800,600,vehicle,4,339,73,382
image-18.jpg,800,600,tree,141,71,171,363
image-18.jpg,800,600,vehicle,187,349,212,365
image-18.jpg,800,600,vehicle,371,349,391,362
image-18.jpg,800,600,tree,515,164,539,360
image-2.jpg,800,600,pole,229,16,250,371
